Date,LBMA_Gold_USD
1970-01-19,34.760000000000005
1970-01-20,34.8
1970-01-21,34.84
1970-01-22,34.96
1970-01-23,34.99
1970-01-26,34.98
1970-01-27,35.0
1970-01-28,34.995000000000005
1970-01-29,35.004999999999995
1970-01-30,34.985
1970-02-02,34.965
1970-02-03,35.0
1970-02-04,35.0
1970-02-05,34.995000000000005
1970-02-06,35.0
1970-02-09,35.01
1970-02-10,35.015
1970-02-11,35.010000000000005
1970-02-12,34.995000000000005
1970-02-13,34.985
1970-02-16,34.995000000000005
1970-02-17,34.989999999999995
1970-02-18,34.965
1970-02-19,34.98
1970-02-20,34.99
1970-02-23,34.989999999999995
1970-02-24,34.98
1970-02-25,35.0
1970-02-26,35.0
1970-02-27,35.010000000000005
1970-03-02,35.0
1970-03-03,35.01
1970-03-04,34.989999999999995
1970-03-05,34.995000000000005
1970-03-06,34.95
1970-03-09,34.96
1970-03-10,34.97
1970-03-11,34.99
1970-03-12,34.995000000000005
1970-03-13,35.015
1970-03-16,35.05
1970-03-17,35.07
1970-03-18,35.105000000000004
1970-03-19,35.265
1970-03-20,35.155
1970-03-23,35.15
1970-03-24,35.195
1970-03-25,35.27
1970-03-26,35.305
1970-03-31,35.3
1970-04-01,35.355000000000004
1970-04-02,35.39
1970-04-03,35.345
1970-04-06,35.305
1970-04-07,35.29
1970-04-08,35.370000000000005
1970-04-09,35.405
1970-04-10,35.38
1970-04-13,35.415
1970-04-14,35.635000000000005
1970-04-15,35.72
1970-04-16,35.75
1970-04-17,35.75
1970-04-20,35.78
1970-04-21,35.86
1970-04-22,35.935
1970-04-23,35.915
1970-04-24,35.805
1970-04-27,35.74
1970-04-28,35.825
1970-04-29,35.865
1970-04-30,35.85
1970-05-01,35.865
1970-05-04,35.92
1970-05-05,36.205
1970-05-06,36.235
1970-05-07,36.23
1970-05-08,36.215
1970-05-11,36.125
1970-05-12,35.989999999999995
1970-05-13,35.945
1970-05-14,35.95
1970-05-15,35.965
1970-05-18,35.97
1970-05-19,35.965
1970-05-20,35.955
1970-05-21,35.935
1970-05-22,35.885000000000005
1970-05-26,35.84
1970-05-27,35.769999999999996
1970-05-28,35.66
1970-05-29,35.475
1970-06-01,35.425
1970-06-02,35.275
1970-06-03,35.16
1970-06-04,35.18
1970-06-05,35.2
1970-06-08,35.385000000000005
1970-06-09,35.605000000000004
1970-06-10,35.535
1970-06-11,35.620000000000005
1970-06-12,35.629999999999995
1970-06-15,35.58
1970-06-16,35.43
1970-06-17,35.370000000000005
1970-06-18,35.43
1970-06-19,35.36
1970-06-22,35.394999999999996
1970-06-23,35.4
1970-06-24,35.5
1970-06-25,35.56
1970-06-26,35.45
1970-06-29,35.48
1970-06-30,35.5
1970-07-01,35.495000000000005
1970-07-02,35.459999999999994
1970-07-03,35.370000000000005
1970-07-06,35.35
1970-07-07,35.315
1970-07-08,35.3
1970-07-09,35.305
1970-07-10,35.33
1970-07-13,35.32
1970-07-14,35.32
1970-07-15,35.290000000000006
1970-07-16,35.3
1970-07-17,35.305
1970-07-20,35.32
1970-07-21,35.305
1970-07-22,35.315
1970-07-23,35.3
1970-07-24,35.290000000000006
1970-07-27,35.3
1970-07-28,35.305
1970-07-29,35.295
1970-07-30,35.3
1970-07-31,35.295
1970-08-03,35.315
1970-08-04,35.31
1970-08-05,35.325
1970-08-06,35.315
1970-08-07,35.3
1970-08-10,35.29
1970-08-11,35.239999999999995
1970-08-12,35.25
1970-08-13,35.265
1970-08-14,35.25
1970-08-17,35.245000000000005
1970-08-18,35.25
1970-08-19,35.25
1970-08-20,35.3
1970-08-21,35.37
1970-08-24,35.480000000000004
1970-08-25,35.595
1970-08-26,35.644999999999996
1970-08-27,35.8
1970-08-28,35.785
1970-09-01,35.885000000000005
1970-09-02,36.085
1970-09-03,36.31
1970-09-04,36.275
1970-09-07,36.175
1970-09-08,36.015
1970-09-09,36.239999999999995
1970-09-10,36.2
1970-09-11,36.315
1970-09-14,36.325
1970-09-15,36.235
1970-09-16,36.065
1970-09-17,36.215
1970-09-18,36.175
1970-09-21,36.235
1970-09-22,36.285
1970-09-23,36.21
1970-09-24,36.19
1970-09-25,36.15
1970-09-28,36.18
1970-09-29,36.2
1970-09-30,36.32
1970-10-01,36.400000000000006
1970-10-02,36.3
1970-10-05,36.625
1970-10-06,36.875
1970-10-07,36.75
1970-10-08,36.73
1970-10-09,36.855000000000004
1970-10-12,37.22
1970-10-13,37.39
1970-10-14,37.35
1970-10-15,37.59
1970-10-16,37.53
1970-10-19,37.629999999999995
1970-10-20,37.875
1970-10-21,37.985
1970-10-22,37.925
1970-10-23,38.325
1970-10-26,39.025
1970-10-27,39.099999999999994
1970-10-28,38.685
1970-10-29,38.285
1970-10-30,37.325
1970-11-02,37.675
1970-11-03,37.435
1970-11-04,37.0
1970-11-05,36.925
1970-11-06,37.05
1970-11-09,37.28
1970-11-10,37.44
1970-11-11,37.155
1970-11-12,37.34
1970-11-13,37.629999999999995
1970-11-16,37.785
1970-11-17,37.485
1970-11-18,37.53
1970-11-19,37.495000000000005
1970-11-20,37.61
1970-11-23,37.5
1970-11-24,37.510000000000005
1970-11-25,37.65
1970-11-26,37.72
1970-11-27,37.61
1970-11-30,37.57
1970-12-01,37.400000000000006
1970-12-02,37.565
1970-12-03,37.565
1970-12-04,37.545
1970-12-07,37.45
1970-12-08,37.39
1970-12-09,37.165
1970-12-10,37.065
1970-12-11,37.18
1970-12-14,37.25
1970-12-15,37.489999999999995
1970-12-16,37.635000000000005
1970-12-17,37.629999999999995
1970-12-18,37.635
1970-12-21,37.62
1970-12-22,37.66
1970-12-23,37.44
1970-12-24,
1970-12-28,37.345
1970-12-29,37.33
1970-12-30,37.400000000000006
1970-12-31,37.38
1971-01-04,37.385
1971-01-05,37.504999999999995
1971-01-06,37.46
1971-01-07,37.39
1971-01-08,37.504999999999995
1971-01-11,37.625
1971-01-12,37.900000000000006
1971-01-13,38.145
1971-01-14,38.025000000000006
1971-01-15,38.125
1971-01-18,38.075
1971-01-19,37.91
1971-01-20,38.07
1971-01-21,38.125
1971-01-22,37.945
1971-01-25,37.974999999999994
1971-01-26,38.125
1971-01-27,38.035
1971-01-28,38.05
1971-01-29,38.025
1971-02-01,38.135000000000005
1971-02-02,38.425
1971-02-03,38.81
1971-02-04,38.47
1971-02-05,38.43
1971-02-08,38.6
1971-02-09,38.79
1971-02-10,38.85
1971-02-11,38.915000000000006
1971-02-12,38.95
1971-02-15,38.925
1971-02-16,38.95
1971-02-17,38.89
1971-02-18,38.845
1971-02-19,38.754999999999995
1971-02-22,38.75
1971-02-23,38.795
1971-02-24,38.760000000000005
1971-02-25,38.765
1971-02-26,38.795
1971-03-01,38.72
1971-03-02,38.705
1971-03-03,38.790000000000006
1971-03-04,38.760000000000005
1971-03-05,38.754999999999995
1971-03-08,38.769999999999996
1971-03-09,38.81
1971-03-10,38.84
1971-03-11,38.980000000000004
1971-03-12,39.03
1971-03-15,39.04
1971-03-16,38.94
1971-03-17,38.92
1971-03-18,38.975
1971-03-19,38.985
1971-03-22,38.955
1971-03-23,38.935
1971-03-24,38.905
1971-03-25,38.915
1971-03-26,38.89
1971-03-29,38.8
1971-03-30,38.775
1971-03-31,38.84
1971-04-01,38.925
1971-04-02,38.855000000000004
1971-04-05,38.894999999999996
1971-04-06,38.875
1971-04-07,38.91
1971-04-08,38.965
1971-04-13,38.925
1971-04-14,38.9
1971-04-15,38.9
1971-04-16,38.94
1971-04-19,38.95
1971-04-20,38.93
1971-04-21,38.905
1971-04-22,39.065
1971-04-23,39.07
1971-04-26,38.95
1971-04-27,38.93
1971-04-28,39.19
1971-04-29,39.435
1971-04-30,39.650000000000006
1971-05-03,39.425
1971-05-04,39.754999999999995
1971-05-05,39.879999999999995
1971-05-06,40.25
1971-05-07,39.825
1971-05-10,39.745000000000005
1971-05-11,40.1
1971-05-12,40.575
1971-05-13,40.825
1971-05-14,41.0
1971-05-17,40.900000000000006
1971-05-18,41.05
1971-05-19,40.55
1971-05-20,40.974999999999994
1971-05-21,41.015
1971-05-24,40.760000000000005
1971-05-25,41.0
1971-05-26,40.93
1971-05-27,40.7
1971-05-28,40.82
1971-06-01,40.845
1971-06-02,40.625
1971-06-03,40.56
1971-06-04,40.6
1971-06-07,40.475
1971-06-08,40.235
1971-06-09,39.935
1971-06-10,39.675
1971-06-11,39.625
1971-06-14,39.575
1971-06-15,39.540000000000006
1971-06-16,39.875
1971-06-17,39.895
1971-06-18,39.925
1971-06-21,39.95
1971-06-22,40.11
1971-06-23,40.275
1971-06-24,40.39
1971-06-25,40.105000000000004
1971-06-28,40.015
1971-06-29,39.89
1971-06-30,40.150000000000006
1971-07-01,40.17
1971-07-02,40.394999999999996
1971-07-05,40.265
1971-07-06,40.3
1971-07-07,40.225
1971-07-08,40.27
1971-07-09,40.24
1971-07-12,40.365
1971-07-13,40.33
1971-07-14,40.375
1971-07-15,40.43
1971-07-16,40.67
1971-07-19,41.004999999999995
1971-07-20,40.94
1971-07-21,41.18
1971-07-22,41.645
1971-07-23,41.599999999999994
1971-07-26,41.6
1971-07-27,41.94
1971-07-28,42.07
1971-07-29,42.24
1971-07-30,42.44
1971-08-02,42.415
1971-08-03,42.2
1971-08-04,42.345
1971-08-05,42.775
1971-08-06,42.605000000000004
1971-08-09,43.42
1971-08-10,43.275
1971-08-11,42.8
1971-08-12,43.239999999999995
1971-08-13,43.135000000000005
1971-08-17,
1971-08-18,43.075
1971-08-19,43.349999999999994
1971-08-20,43.3
1971-08-23,43.275
1971-08-24,43.150000000000006
1971-08-25,42.935
1971-08-26,42.375
1971-08-27,41.11
1971-08-31,40.825
1971-09-01,40.900000000000006
1971-09-02,41.49
1971-09-03,41.715
1971-09-06,41.765
1971-09-07,41.675
1971-09-08,41.364999999999995
1971-09-09,41.725
1971-09-10,41.614999999999995
1971-09-13,41.605000000000004
1971-09-14,41.82
1971-09-15,41.92
1971-09-16,42.235
1971-09-17,42.075
1971-09-20,42.175
1971-09-21,42.305
1971-09-22,42.2
1971-09-23,42.245000000000005
1971-09-24,42.575
1971-09-27,42.465
1971-09-28,42.94
1971-09-29,42.650000000000006
1971-09-30,42.54
1971-10-01,42.285
1971-10-04,42.510000000000005
1971-10-05,42.385000000000005
1971-10-06,42.445
1971-10-07,42.5
1971-10-08,42.475
1971-10-11,42.480000000000004
1971-10-12,42.515
1971-10-13,42.650000000000006
1971-10-14,42.58
1971-10-15,42.565
1971-10-18,42.535
1971-10-19,42.565
1971-10-20,42.510000000000005
1971-10-21,42.5
1971-10-22,42.48
1971-10-25,42.5
1971-10-26,42.5
1971-10-27,42.495
1971-10-28,42.45
1971-10-29,42.370000000000005
1971-11-01,42.135
1971-11-02,42.364999999999995
1971-11-03,42.2
1971-11-04,42.175
1971-11-05,42.29
1971-11-08,42.375
1971-11-09,42.5
1971-11-10,42.62
1971-11-11,42.58
1971-11-12,42.650000000000006
1971-11-15,42.85
1971-11-16,42.9
1971-11-17,42.825
1971-11-18,43.06
1971-11-19,43.125
1971-11-22,43.25
1971-11-23,43.230000000000004
1971-11-24,43.400000000000006
1971-11-25,43.58
1971-11-26,43.364999999999995
1971-11-29,43.655
1971-11-30,43.575
1971-12-01,43.519999999999996
1971-12-02,43.675
1971-12-03,43.765
1971-12-06,43.94
1971-12-07,43.84
1971-12-08,43.525000000000006
1971-12-09,43.575
1971-12-10,43.68
1971-12-13,43.635
1971-12-14,43.65
1971-12-15,43.595
1971-12-16,43.285
1971-12-17,42.9
1971-12-20,42.56
1971-12-21,43.035
1971-12-22,43.25
1971-12-23,43.47
1971-12-24,
1971-12-28,43.345
1971-12-29,43.535
1971-12-30,43.525
1971-12-31,43.62
1972-01-03,43.864999999999995
1972-01-04,44.365
1972-01-05,44.47
1972-01-06,45.065
1972-01-07,45.8
1972-01-10,45.725
1972-01-11,45.295
1972-01-12,45.269999999999996
1972-01-13,45.435
1972-01-14,45.825
1972-01-17,46.075
1972-01-18,45.97
1972-01-19,45.89
1972-01-20,45.825
1972-01-21,45.894999999999996
1972-01-24,45.96
1972-01-25,46.11
1972-01-26,46.14
1972-01-27,46.400000000000006
1972-01-28,47.175
1972-01-31,47.05
1972-02-01,47.795
1972-02-02,48.925
1972-02-03,48.2
1972-02-04,47.275
1972-02-07,47.515
1972-02-08,48.150000000000006
1972-02-09,48.010000000000005
1972-02-10,48.425
1972-02-11,48.25
1972-02-14,48.025000000000006
1972-02-15,47.925
1972-02-16,48.15
1972-02-17,48.415
1972-02-18,48.32
1972-02-21,48.525
1972-02-22,48.625
1972-02-23,48.635
1972-02-24,48.775000000000006
1972-02-25,48.54
1972-02-28,48.47
1972-02-29,48.3
1972-03-01,47.91
1972-03-02,48.215
1972-03-03,48.065
1972-03-06,48.125
1972-03-07,48.275000000000006
1972-03-08,48.185
1972-03-09,48.375
1972-03-10,48.315
1972-03-13,48.405
1972-03-14,48.405
1972-03-15,48.34
1972-03-16,48.435
1972-03-17,48.39
1972-03-20,48.365
1972-03-21,48.415
1972-03-22,48.39
1972-03-23,48.4
1972-03-24,48.375
1972-03-27,48.345
1972-03-28,48.265
1972-03-29,48.41
1972-03-30,48.38
1972-04-04,48.405
1972-04-05,48.4
1972-04-06,48.295
1972-04-07,48.35
1972-04-10,48.39
1972-04-11,48.485
1972-04-12,48.865
1972-04-13,49.185
1972-04-14,49.35
1972-04-17,49.385000000000005
1972-04-18,49.465
1972-04-19,49.325
1972-04-20,49.41
1972-04-21,49.365
1972-04-24,49.365
1972-04-25,49.24
1972-04-26,49.285
1972-04-27,49.415000000000006
1972-04-28,49.55
1972-05-01,50.275000000000006
1972-05-02,50.540000000000006
1972-05-03,50.375
1972-05-04,50.375
1972-05-05,50.785
1972-05-08,51.84
1972-05-09,53.85
1972-05-10,53.2
1972-05-11,53.0
1972-05-12,52.849999999999994
1972-05-15,52.95
1972-05-16,54.55
1972-05-17,57.625
1972-05-18,57.025
1972-05-19,56.775
1972-05-22,57.275000000000006
1972-05-23,57.475
1972-05-24,56.849999999999994
1972-05-25,56.96
1972-05-26,57.725
1972-05-30,58.625
1972-05-31,59.375
1972-06-01,59.015
1972-06-02,59.3
1972-06-05,59.45
1972-06-06,60.625
1972-06-07,64.8
1972-06-08,65.625
1972-06-09,64.05
1972-06-12,60.1
1972-06-13,62.45
1972-06-14,61.05
1972-06-15,61.325
1972-06-16,61.65
1972-06-19,60.900000000000006
1972-06-20,61.375
1972-06-21,61.185
1972-06-22,61.614999999999995
1972-06-23,63.55
1972-06-26,63.45
1972-06-27,62.55
1972-06-28,63.65
1972-06-29,64.8
1972-06-30,64.375
1972-07-03,64.875
1972-07-04,65.25
1972-07-05,65.65
1972-07-06,65.95
1972-07-07,65.55
1972-07-10,65.32499999999999
1972-07-11,65.45
1972-07-12,64.975
1972-07-13,65.0
1972-07-14,65.1
1972-07-17,65.35
1972-07-18,65.525
1972-07-19,64.975
1972-07-20,65.025
1972-07-21,65.15
1972-07-24,65.15
1972-07-25,65.49000000000001
1972-07-26,65.66499999999999
1972-07-27,65.975
1972-07-28,67.825
1972-07-31,68.6
1972-08-01,69.05
1972-08-02,70.0
1972-08-03,68.85
1972-08-04,68.125
1972-08-07,67.95
1972-08-08,66.175
1972-08-09,65.42500000000001
1972-08-10,66.45
1972-08-11,65.9
1972-08-14,65.225
1972-08-15,65.75
1972-08-16,66.15
1972-08-17,66.33500000000001
1972-08-18,66.425
1972-08-21,66.69999999999999
1972-08-22,66.985
1972-08-23,67.225
1972-08-24,67.32499999999999
1972-08-25,67.08500000000001
1972-08-29,66.63499999999999
1972-08-30,66.85
1972-08-31,66.84
1972-09-01,66.82499999999999
1972-09-04,66.85
1972-09-05,66.9
1972-09-06,67.0
1972-09-07,67.035
1972-09-08,67.1
1972-09-11,67.225
1972-09-12,66.925
1972-09-13,66.975
1972-09-14,66.84
1972-09-15,65.8
1972-09-18,62.875
1972-09-19,64.3
1972-09-20,64.775
1972-09-21,64.875
1972-09-22,64.275
1972-09-25,63.65
1972-09-26,63.675
1972-09-27,63.75
1972-09-28,64.275
1972-09-29,64.15
1972-10-02,64.125
1972-10-03,64.1
1972-10-04,65.0
1972-10-05,65.61
1972-10-06,65.4
1972-10-09,65.6
1972-10-10,65.375
1972-10-11,65.095
1972-10-12,64.545
1972-10-13,64.61
1972-10-16,64.975
1972-10-17,65.0
1972-10-18,64.82499999999999
